account_id,company_name,region,industry,company_size,arr_value,contract_start_date,renewal_date,account_owner,account_tier,payment_status
ACC-00001,Red Peak,EMEA,Energy,Enterprise,853657,2024-04-06,2026-04-06,Sarah Garcia,Premium,Current
ACC-00002,Blue Bridge,APAC,Retail,SMB,44350,2024-02-27,2026-02-26,Jessica Miller,Standard,Current
ACC-00003,Alpha Digital,AMER,Manufacturing,SMB,19019,2025-09-04,2027-09-04,Chris Jones,Premium,Overdue
ACC-00004,Beta Systems,AMER,Healthcare,SMB,35785,2025-11-23,2026-11-23,Sarah Brown,Standard,Current
ACC-00005,Elite Tech,EMEA,Technology,SMB,38852,2024-06-01,2027-06-01,Jessica Garcia,Enterprise,Current
ACC-00006,ApexTechnologies,AMER,Finance,SMB,47652,2024-08-31,2026-08-31,Sarah Garcia,Standard,Current
ACC-00007,Prime Solutions,EMEA,Finance,Mid-Market,176274,2025-04-18,2027-04-18,Jessica Johnson,Standard,Current
ACC-00008,Silver Stone,APAC,Energy,Mid-Market,128459,2025-07-24,2026-07-24,David Miller,Premium,Current
ACC-00009,Nova Tech,EMEA,Technology,Mid-Market,184950,2024-03-06,2026-03-06,Amanda Davis,Standard,Current
ACC-00010,Silver Point,EMEA,Education,SMB,34024,2024-03-27,2027-03-27,Amanda Garcia,Enterprise,Current
ACC-00011,Golden Stream,EMEA,Retail,SMB,19874,2025-11-18,2028-11-17,Emily Davis,Premium,Current
ACC-00012,Cloud AI,AMER,Retail,Enterprise,801922,2024-10-18,2027-10-18,Chris Garcia,Premium,Current
ACC-00013,CloudSoftware,APAC,Logistics,Enterprise,473665,2025-06-27,2028-06-26,Jessica Johnson,Premium,Current
ACC-00014,Iron Stone,EMEA,Finance,Mid-Market,122953,2025-01-13,2027-01-13,Amanda Johnson,Premium,Current
ACC-00015,Neural Solutions,APAC,Education,SMB,27099,2025-11-22,2027-11-22,Amanda Williams,Standard,Current
ACC-00016,SmartSolutions,AMER,Healthcare,SMB,36523,2025-04-29,2026-04-29,Jessica Garcia,Premium,Current
